city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Cumaná,Cumana,10.4500,-64.1667,Venezuela,VE,VEN,Sucre,admin,374706,1862583279
Bello,Bello,6.3319,-75.5581,Colombia,CO,COL,Antioquia,minor,371591,1170423489
La Florida,La Florida,-33.5500,-70.5667,Chile,CL,CHL,Región Metropolitana,,366916,1152939649
Bauru,Bauru,-22.3147,-49.0606,Brazil,BR,BRA,São Paulo,,366992,1076905338
Anápolis,Anapolis,-16.3269,-48.9528,Brazil,BR,BRA,Goiás,,366491,1076208869
Blumenau,Blumenau,-26.9189,-49.0658,Brazil,BR,BRA,Santa Catarina,,361855,1076618665
Montes Claros,Montes Claros,-16.7322,-43.8636,Brazil,BR,BRA,Minas Gerais,,361915,1076113275
Vitória,Vitoria,-20.3189,-40.3378,Brazil,BR,BRA,Espírito Santo,admin,355875,1076376829
São Vicente,Sao Vicente,-23.9633,-46.3922,Brazil,BR,BRA,São Paulo,,355542,1076857089
Itaquaquecetuba,Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,BRA,São Paulo,,352801,1076942224
Corrientes,Corrientes,-27.4833,-58.8167,Argentina,AR,ARG,Corrientes,admin,352646,1032173097
Neiva,Neiva,2.9275,-75.2875,Colombia,CO,COL,Huila,admin,353033,1170159963
Cabimas,Cabimas,10.4000,-71.4333,Venezuela,VE,VEN,Zulia,minor,351735,1862398719
Cariacica,Cariacica,-20.2639,-40.4200,Brazil,BR,BRA,Espírito Santo,,348738,1076479479
Palmira,Palmira,3.5347,-76.2956,Colombia,CO,COL,Valle del Cauca,minor,349294,1170969619
